"問題文","選択肢1","選択肢2","選択肢3","選択肢4","選択肢5","正解","科目分類"
"18 歳の女子。顔面の変形を主訴として来院した。 痛みはないが最近になって顔面の変形が進行してきたという。初診時のエックス線写真(A、B)を示す。疑われるのはどれか。1つ選べ。[103B7-ori]","歯原性粘液腫","歯性上顎洞炎","線維性異形成症","セメント芽細胞腫","慢性硬化性骨髄炎","c","歯科放射線学"
"32歳の男性。下顎右側大臼歯部の食片圧入を主訴として来院した。自発痛はなく、温度診に異常を認めない。 コンポジットレジン修復を行うこととした。 初診時の口腔内写真(A)とエックス線写真(B) とを示す。適切なのはどれか。 2つ選べ。 [103B8-ori]","プレウェッジを行う。","ラバーダム防湿を行う。","レジンコーティングを行う。","エアブレイシブで切削する。","水酸化カルシウム剤で覆髄する。","12","保存修復学"
"65歳の男性。高血圧症の既往がある。上顎犬歯の抜去に対して浸潤麻酔を行った。約0.5ml注入したところ、頭重感、嘔気およびめまいを訴えた。血圧220/118 mmHg、脈拍 80/分であった。適切な対応はどれか。1つ選べ。[103B9-ori]","ニトログリセリンの舌下投与","リドカイン塩酸塩の静脈内投与","エフェドリン塩酸塩の静脈内投与","ニカルジピン塩酸塩の静脈内投与","アトロピン硫酸塩水和物の皮下注射","d","歯科麻酔学"
"76 歳の男性。10年前に装着した上下顎全部床義歯の不適合を主訴として来院した。新義歯を製作することとした。 完成義歯の側方運動時の咬合接触点の写真(A)と中心咬合時の口腔内写真(B)とを示す。付与したのはどれか。1つ選べ。[103B10-ori]","group function","balanced occlusion","lingualized occlusion","monoplane occlusion","cuspid protected occlusion","c","全部床義歯学"
"70歳の女性。 舌のヒリヒリ感を主訴として来院した。 初診時の舌の写真を示す。診断に有効な検査項目はどれか。 2つ選べ。[103B11-ori]","ヘモグロビン","平均赤血球容積","リウマトイド因子","C反応性タンパク","活性化部分トロンボプラスチン時間","12","口腔外科学"
"4歳の女児。歯の変色と臼歯部の冷水痛とを主訴として来院した。 骨変形と側彎症による低身長がみられる。 乳臼歯部の咬耗が著しいため乳歯冠による修復を行うこととした。初診時の口腔内写真を示す。治療に際し留意すべきなのはどれか。1つ選べ。 [103B12-ori]","変色部はすべて切削する。","上下顎歯ともに修復する。","乳歯冠幅径は大きくする。","断髄法を行ってから修復する。","術野確保のため開口器を使用する。","b","小児歯科学"
"11歳の男児。 他院で咬み合わせが深いことを指摘され来院した。 第一大臼歯の咬合関係は左右側ともに Angle II級で、 アーチレングスディスクレパンシーは上顎-8mm、下顎-1mmである。 初診時の顔面写真(A) と口腔内写真(B)とを示す。 セファロ分析の結果を図に示す。適切な矯正装置はどれか。 2つ選べ。 [103B13-ori]","タングクリブ","アクチバトール","リンガルアーチ","ハイプルヘッドギア","サービカルプルヘッドギア","35","歯科矯正学"
"5歳の男児。遊戯中に衝突し上顎前歯部を強打したため来院した。 ⎿AとB⏌とに動揺を認める。 初診時の口腔内写真(A)とエックス線写真(B)とを示す。行うべき処置はどれか。 すべて選べ。[103B14-ori]","歯肉の縫合","A⏌破折根の除去","B⏊A の固定","B⏊A の抜髄","⎿A の抜去","123","小児歯科学"
"35歳の男性。左側頰部の腫脹を主訴として来院した。1週前から疼痛を伴う腫脹を自覚したが、放置していたという。 口腔内の清掃状態は悪く、下顎左側第一大臼歯は残根状態である。 初診時の顔貌写真(A)と処置時の写真(B)とを示す。この処置の目的はどれか。1つ選べ。[103B15-ori]","抗菌薬の注入","造影剤の注入","病巣部の洗浄","病巣周囲の麻酔","病巣内容物の確認","e","口腔外科学"
"24歳の男性。 上顎左側前歯部の破折を主訴として来院した。 1時間前に転倒によって打撲したという。 初診時の口腔内写真(A)とエックス線写真(B)とを示す。⎿1の処置で適切なのはどれか。2つ選べ。[103B16-ori]","暫間固定","生活断髄法","コンポジットレジン修復","グラスアイオノマーセメント修復","水酸化カルシウム剤による間接覆髄","35","歯内療法学"
"78歳の女性。上顎の違和感を訴えて在宅診療を希望した。 患者は6年前に上下顎全部床義歯を装着したが、5年前から寝たきりである。 初診時の口腔内写真(A)と使用中の義歯の写真(B)とを示す。最初に行うのはどれか。1つ選べ。[103B17-ori]","咬合調整","粘膜調整","リリーフ","リライン","義歯清掃指導","e","全部床義歯学"
"67歳の男性。上顎義歯の維持不良による再製作を希望して来院した。使用中の義歯は10年前に製作したという。 初診時の口腔内写真(A) と義歯の写真(B)とを示す。適切な検査はどれか。 2つ選べ。[103B18-ori]","適合試験","安静時唾液量測定","刺激時唾液量測定","金属アレルギー検査","デンチャープラークの染出し","15","全部床義歯学"
"15歳の男子。臼歯部の異常を主訴として来院した。 脳性麻痺による摂食嚥下障害のため、経管栄養であるという。 初診時の口腔内写真を示す。適切な対応はどれか。1つ選べ。[103B19-ori]","経過観察","歯冠修復","歯肉切除術","スケーリング","フッ化物塗布","d","口腔衛生学"
"27歳の男性。口臭を主訴として来院した。 官能検査で強い口臭を認めるが、齲蝕や歯周炎は認めない。 初診時のガスクロマトグラフィー検査結果を図に示す。ただし矢印は各成分の嗅覚閾値を示す。適切な対応はどれか。 2つ選べ。 [103B20-ori]","性格検査","唾液分泌量の評価","口腔清掃指導","内科への紹介","精神科の受診勧奨","23","口腔衛生学"
"62歳の女性。 上下顎可撤性義歯を製作中である。 口腔内写真(A、B、C)と筋圧形成を終えた個人トレーの写真(D、E)とを示す。印象採得操作について正しいのはどれか。1つ選べ。[103B21-ori]","上下顎同時に印象採得を行う。","上顎前歯部にワックススペーサーを置く。","上顎の印象には非弾性印象材を用いることができる。","下顎残存歯のアンダーカット部をすべてブロックアウトする。","上顎の印象には流動性の低い印象材を用い積極的な加圧を行う。","c","全部床義歯学"
"38歳の男性。 オトガイ下部の疼痛を主訴として来院した。 オトガイ部に著明なびまん性腫脹と発赤とを認め、 波動を触知する。 口腔外から切開排膿術を行うこととした。 波動部と切開線の写真を示す。適切な切開線はどれか。1つ選べ。[103B22-ori]","ア","イ","ウ","エ","オ","b","口腔外科学"
"63歳の男性。口腔内の疼痛を主訴として来院した。 7日前から智歯周囲炎のため抗菌薬を服用している。昨日から熱発し、眼の充血と全身の皮膚の発赤とが生じ、口腔内全体がしみるようになり食事が困難になったという。 初診時の口腔内写真を示す。 血液検査の結果を表に示す。この疾患の病態はどれか。1つ選べ。 [103B23-ori]","化学的損傷","菌交代現象","自己免疫疾患","日和見感染症","アレルギー性疾患","e","口腔外科学"
"18歳の女子。下顎前突と前歯部の開咬とを主訴として来院した。 初診時のエックス線写真(A)で下顎左側第一大臼歯根尖部に異常を認めたが、同部の自覚症状はないという。CT(B、C)を示す。この病変に対する適切な対応はどれか。1つ選べ。[103B24-ori]","経過観察","抗菌薬投与","生検","⎾6の抜歯","病変の摘出","a","口腔外科学"
"35歳の女性。上顎右側中切歯の変色を主訴として来院した。 5年前に治療を受けたという。ウォーキングブリーチを行うこととした。 初診時の口腔内写真(A)とエックス線写真(B)とを示す。処置に際して考慮するのはどれか。 2つ選べ。[103B25-ori]","歯肉の色調","根管充塡状態","象牙細管の走行","エナメル質の厚さ","歯周ポケットの深さ","23","歯内療法学"
"70歳の男性。歯周治療終了後、SPT 〈supportive periodontal therapy〉 に移行することとした。移行時の口腔内写真(A)とエックス線写真(B)とを示す。SPT 期間中に前歯部で発生するリスクが高いのはどれか。2つ選べ。[103B26-ori]","食片圧入","歯根破折","急性歯髄炎","暫間固定の破損","歯肉縁上歯石の付着","45","歯周病学"
"38歳の女性。 左側顎下部の腫脹を主訴として来院した。5年前から同部の無痛性腫脹に気付いたという。 初診時の顔貌写真(A)、 MRI の T2強調像(B)及び摘出物のH-E染色病理組織像(C)を示す。診断名はどれか。1つ選べ。[103B27-ori]","血管腫","脂肪腫","多形腺腫","リンパ管腫","歯原性粘液腫","b","口腔外科学"
"6歳の男児。上顎左側中切歯が萌出してこないことを主訴として来院した。 初診時の口腔内写真(A)、 エックス線写真(B、C)及びそのトレース図(D)を示す。まず行うのはどれか。1つ選べ。 [103B28-ori]","アの抜歯","イの抜歯","ウの抜歯","ウの開窓牽引","ウの萌出観察","a","小児歯科学"
"63歳の男性。上下顎の全部床義歯の製作を希望して来院した。 新義歯を製作し装着したが、調整中に左側頰粘膜後方部に疼痛と腫脹とが発生した。 その時の口腔内写真 (A、B)、 咬合時の顔貌写真(C) 中心咬合位での咬合接触状態の写真(D)、 適合試験の写真(E) 及び上下顎義歯の嵌合状態の写真(F)を示す。腫脹部を矢印で示す。原因はどれか。1つ選べ。[103B29-ori]","維持不良","低位咬合","早期接触","床研磨面の形態不良","人工歯の排列位置不良","d","全部床義歯学"
"9歳の男児。 下顎右側第二乳臼歯歯肉の腫脹を主訴として来院した。自発痛はなく、繰り返し膿瘍を形成するという。E⏋の動揺度は2度で打診痛を認める。 初診時の口腔内写真(A) とエックス線写真(B)とを示す。適切な対応はどれか。1つ選べ。[103B30-ori]","乳歯冠の除去","歯肉腫脹部の切除","E⏋の抜去","E⏋の根尖切除","E⏋の根管開放","c","小児歯科学"
"45歳の男性。下顎右側第二大臼歯の咬合痛を主訴として来院した。 初診時のロ腔内写真(A) とエックス線写真(B)とを示す。歯周組織検査結果の一部を表に示す。適切な治療方針はどれか。1つ選べ。 [103B31-ori]","抜歯","齲窩の修復","感染根管治療","歯周ポケット内洗浄","ルートプレーニング","a","歯周病学"
"25歳の男性。上顎左側犬歯の一過性の冷水痛を主訴として来院した。コンポジットレジン修復を行うこととした。初診時の口腔内写真 (A)と窩洞形成後の口腔内写真(B)とを示す。コンポジットレジンの重合収縮応力を緩和するために有効なのはどれか。2つ選べ。 [103B32-ori]","分割積層充塡","ベベルの付与","舌側面からの圧接","唇側からの光照射","ポリエステル製ストリップスの使用","14","保存修復学"
"9歳の男児。上顎切歯の前突を主訴として来院した。初診時の口腔内写真(A)と装置装着時の写真(B)とを示す。セファロ分析の結果を図に示す。誘導面の形成部位で適切なのはどれか。 2つ選べ。 [103B33-ori]","臼歯の咬合面相当部","上顎切歯の舌側面相当部","下顎切歯の舌側面相当部","上顎第一大臼歯の遠心面相当部","下顎第一大臼歯の近心面相当部","12","歯科矯正学"
"58歳の男性。右側舌縁の違和感を主訴として来院した。1か月前に気付き、市販の副腎皮質ステロイド軟膏を使用したが、 症状は改善しなかったという。切除術を行うこととした。 初診時の口腔内写真(A) と処置時の写真(B)とを示す。この処置の目的はどれか。1つ選べ。 [103B34-ori]","表面麻酔","播種の防止","手術野の消毒","切除範囲の設定","病巣深度の予測","d","口腔外科学"
"36 歳の男性。 上顎右側歯肉頰移行部の腫脹と疼痛とを主訴として来院した。 6か月前から同部の腫脹が出現し持続している。20年前に蓄膿症の手術を受けているという。初診時のエックス線写真(A)とCT (B、C)とを示す。考えられる病態はどれか。1つ選べ。 [103B35-ori]","残存上皮の囊胞化","粘液貯留囊胞の感染","鼻炎による自然孔の閉鎖","頰脂肪体の上顎洞への侵入","悪性腫瘍による上顎洞壁の破壊","a","口腔外科学"
"6歳の男児。下顎左側第一大臼歯の萌出異常を主訴として来院した。 初診時の口腔内写真(A)とエックス線写真(B)とを示す。適切な対応はどれか。1つ選べ。[103B36-ori]","経過観察","⎾6の抜去","⎾6 の遠心移動","⎾E遠心隣接面の削除","⎾6 遠心部の歯肉弁切除","c","小児歯科学"
"50歳の女性。上顎第三大臼歯の抜去のため、3% プロピトカイン塩酸塩による浸潤麻酔を行った。 数分後、 動悸を訴えた。 その時の心電図を示す。静脈内投与すべき薬物はどれか。1つ選べ。[103B37-ori]","塩化カリウム","硝酸イソソルビド","リドカイン塩酸塩","ニカルジピン塩酸塩","アトロピン硫酸塩水和物","c","歯科麻酔学"
"44歳の男性。下顎右側第二小臼歯のクラウンが脱落したため来院した。再歯冠補綴を行う前に、ある前処置を行った。来院時の口腔内写真 (A)と前処置後の写真(B)とを示す。この前処置の目的はどれか。 2つ選べ。[103B38-ori]","歯冠歯根比の改善","対合歯挺出の防止","付着歯肉幅の確保","支台歯への帯環効果の付与","支台築造体の根管ポスト長の確保","34","冠橋義歯学"
"25歳の男性。開口障害を主訴として来院した。 4か月前から口が開かなくなり、2か月前から近医にてスプリント治療と疼痛時の消炎鎮痛薬投与とを受けていたという。初診時の最大開口量は30mmで、左側顎関節部の圧痛と開口時痛とを認める。初診時の開口時顔貌写真(A)、 エックス線写真(B)及び左側の開閉口時 MRI(C)を示す。適切な対応はどれか。1つ選べ。[103B39-ori]","経過観察","咬合調整","顎関節円板切除術","関節腔内洗浄療法","中枢性筋弛緩薬の投与","d","口腔外科学"
"5歳の男児。定期健診のため来院した。 唇顎口蓋裂のため生後4か月時に口唇形成術、1歳8か月時に口蓋形成術を行ったという。 初診時の口腔内写真(A)と装置の写真(B)とを示す。装置の目的はどれか。1つ選べ。[103B40-ori]","鼻腔漏出の防止","歯列弓の側方拡大","咽頭破裂音の改善","鼻咽腔閉鎖不全の改善","永久歯萌出スペースの確保","a","口腔外科学"
"36歳の女性。 食物が飲み込めないことを主訴として来院した。 製作した装置の写真を示す。この装置によって改善する嚥下の時期はどれか。1つ選べ。[103B41-ori]","先行期","準備期","口腔期","咽頭期","食道期","c","口腔衛生学"
"32 歳の女性。 下顎左側小臼歯部の舌感不良を主訴として来院した。初診時の口腔内写真を示す。原因として考えられるのはどれか。 2つ選べ。[103B42-ori]","打撲","修復物の脱離","硬固物の習慣的摂取","不適切なブラッシング","酸性食品の習慣的摂取","35","保存修復学"
"34歳の男性。下顎右側第一小臼歯に陶材焼付鋳造冠を製作することとした。支台歯形成後のある操作の写真を示す。この操作を行うにあたり適切なのはどれか。2つ選べ。 [103B43-ori]","無影灯の光で明度を保つ。","自然光に近い色温度を確保する。","エアシリンジで歯を完全に乾燥させる。","写真撮影を行い歯科技工士に判断を任せる。","隣接歯だけでなく反対側同名歯も参考にする。","25","冠橋義歯学"
"11歳の女児。上顎前突を主訴として来院した。 初診時の顔面写真(A)と装置製作用口腔模型の写真(B、C)とを示す。治療効果で期待されるのはどれか。 2つ選べ。[103B44-ori]","顔面角の増加","SNP角の減少","ANB角の増加","上顎突出度の減少","FH 平面に対する上顎中切歯歯軸傾斜角の増加","14","歯科矯正学"
"45歳の男性。 下顎左側第一大臼歯の咬合痛を主訴として来院した。 ラバーダム装着時の口腔内写真を示す。この状態で起こるのはどれか。2つ選べ。[103B45-ori]","歯冠破折","器具の嚥下","薬液の漏出","隣接歯の損傷","施術野の汚染","35","歯内療法学"
"8歳の男児。 歯並びが悪いことを主訴として来院した。 初診時の咬頭嵌合位と早期接触位の口腔内写真を示す。 セファロ分析の結果を図に示す。まず行う処置はどれか。 2つ選べ。 [103B46-ori]","上顎左側中切歯の唇側移動","下顎切歯の舌側移動","暫間的咬合挙上","上顎骨の成長促進","下顎骨の成長抑制","13","歯科矯正学"
"65歳の女性。咀嚼障害を主訴として来院した。 筋圧形成を行うこととした。部分床義歯製作中の写真(A、B、C)を示す。 コンパウンドの付着位置を写真(B)の矢印の位置までとするか、写真Cの位置までとするかを決定する要因はどれか。1つ選べ。[103B47-ori]","印象材の種類","義歯床の材料","クラスプの種類","大連結子の種類","粘膜の被圧変位量","c","部分床義歯学"
"58歳の男性。 下顎右側臼歯部の歯肉の腫れを主訴として来院した。 歯周基本治療後の再評価で76⏋に深い歯周ポケットが残存したため、歯周外科手術を行うこととした。 再評価時のエックス線写真(A)、 術直前の口腔内写真(B)及び術中の口腔内写真(C)を示す。再評価時の歯周組織検査結果の一部を表に示す。76⏋ で異なる処置を行った理由はどれか。 2つ選べ。 [103B48-ori]","動揺度","歯槽骨吸収の程度","アタッチメントレベル","ルートトランクの長さ","プロービング時の出血","23","歯周病学"
"5歳の男児。数日前からの下顎右側の疼痛を主訴として来院した。 びまん性腫脹と自発痛とを生じ、 昨夜からは39°C台の発熱と食欲不振とがあるという。初診時の顔貌写真(A)、口腔内写真(B)及びエックス線写真(C)を示す。まず行うのはどれか。 2つ選べ。[103B49-ori]","膿瘍切開","抗菌薬の投与","E⏋の抜去","D⏋の抜去","水分・栄養の補給","25","小児歯科学"
"18歳の女子。両側下顎の腫脹を主訴として来院した。 数年前から同部が腫脹することがあったが放置していたという。 本人のエックス線写真(A)、弟のエックス線写真(B) 及び本人の生検時のH-E 染色病理組織像(C)を示す。この疾患で他にみられるのはどれか。 2つ選べ。 [103B50-ori]","小下顎症","二分肋骨","多発性骨腫","手掌の小窩","カフェオレ斑","24","口腔外科学"
"18歳の女子。両側下顎の腫脹を主訴として来院した。 数年前から同部が腫脹することがあったが放置していたという。 本人のエックス線写真(A)、弟のエックス線写真(B) 及び本人の生検時のH-E 染色病理組織像(C)を示す。この疾患の遺伝形式はどれか。1つ選べ。 [103B51-ori]","伴性優性遺伝","伴性劣性遺伝","常染色体優性遺伝","常染色体劣性遺伝","ミトコンドリア遺伝","c","口腔外科学"
"80歳の女性。咀嚼困難を主訴として来院した。 半年前に上顎義歯を装着し、調整を繰り返したが、 噛みにくいという。 義歯の適合と咬合高径とに問題はなく、上下顎義歯床下粘膜に異常を認めない。 診療中の口腔内写真(A)とリマウントした義歯の写真(B)とを示す。写真(A)に示す操作に必要な要件はどれか。 2つ選べ。 [103B52-ori]","正中線の一致","ワックスの穿孔","最大咬合力の発揮","中心咬合位への誘導","ワックスの均一な軟化","45","部分床義歯学"
"80歳の女性。咀嚼困難を主訴として来院した。 半年前に上顎義歯を装着し、調整を繰り返したが、 噛みにくいという。 義歯の適合と咬合高径とに問題はなく、上下顎義歯床下粘膜に異常を認めない。 診療中の口腔内写真 (A)とリマウントした義歯の写真(B)とを示す。次に行う処置はどれか。2つ選べ。[103B53-ori]","咬合調整","咬合面再形成","床面積の拡大","クラスプの追加","パラタルバーの追加","12","部分床義歯学"
"顎関節部に腫脹を生じるのはどれか。1つ選べ。 [103C1-ori]","顎関節症","顎関節脱臼","下顎頭欠損","筋突起過形成","化膿性顎関節炎","e","口腔外科学"
"市町村が保険者であるのはどれか。1つ選べ。 [103C2-ori]","介護保険","雇用保険","健康保険","厚生年金保険","労働者災害補償保険","a","公衆衛生学"
"セメント芽細胞が産生するのはどれか。1つ選べ。 [103C3-ori]","歯根膜の弾性線維","歯根膜のコラーゲン線維","歯根膜のオキシタラン線維","セメント質の固有線維","セメント質の弾性線維","d","組織学歯周病学"
"Bリンパ球に潜伏するのはどれか。1つ選べ。 [103C4-ori]","influenza virus","hepatitis B virus","Epstein-Barr virus","varicella – zoster virus","herpes simplex virus type 1","c","病理学口腔外科学"
"膿汁中の菌塊を特徴とするのはどれか。1つ選べ。 [103C5-ori]","梅毒","結核","放線菌症","カンジダ症","サルコイドーシス","c","微生物学口腔外科学"
"口内法エックス線撮影でロングコーンを用いる理由はどれか。1つ選べ。 [103C6-ori]","粒状性の向上","拡大率の低減","撮影時間の短縮","コーンカットの防止","フイルム感度の上昇","b","口腔外科学"
"頬筋で正しいのはどれか。1つ選べ。 [103C7-ori]","咀嚼筋である。","平滑筋である。","頰骨に起始する。","耳下腺管が貫通する。","上顎神経が支配する。","d","解剖学"
"空腹時血糖値が 280mg/dl の人が異常値を示すのはどれか。1つ選べ。 [103C8-ori]","ALP","LDH","RBC","WBC","HbA₁c","e","内科学口腔外科学"
"健康増進法に基づく健康増進計画の策定義務があるのはどれか。1つ選べ。 [103C9-ori]","都道府県","政令市","特別区","市町村","","b","公衆衛生学"
"ある疾病の臨床検査の結果と最終診断との関係を表に示す。この臨床検査の特異度はどれか。1つ選べ。 [103C10-ori]","0.47","0.75","0.78","0.9","0.97","b","疫学公衆衛生学"
"消化液の分泌を促進するのはどれか。1つ選べ。 [103C11-ori]","レニン","ガストリン","グルカゴン","カルシトニン","ソマトスタチン","b","生理学内科学"
"検疫感染症の疑いのある者が入国する際にとられる措置はどれか。1つ選べ。 [103C12-ori]","隔離","停留","勾留","入院","入国拒否 (退去命令)","b","公衆衛生学疫学"
"エックス線が生物学的影響を引き起こす作用はどれか。1つ選べ。 [103C13-ori]","透過","蛍光","電離","散乱","回折","c","歯科放射線学"
"歯科医師法の目的はどれか。1つ選べ。 [103C14-ori]","歯科医師の所得保証","公的医療保険制度の維持","先端歯科医療技術の開発","国民の健康な生活の確保","歯科医療の専門分野の確立","d","口腔衛生学"
"部分床義歯の支台装置製作で複模型の印象直前の作業はどれか。1つ選べ。 [103C15-ori]","予備設計","サベイング","人工歯排列","作業用模型製作","研究用模型製作","b","部分床義歯"
"アレルギーで増加するのはどれか。1つ選べ。 [103C16-ori]","単球","好酸球","好中球","骨髄球","好塩基球","b","口腔外科学内科学"
"2008年ノーベル化学賞受賞者の下村脩博士の業績と関連するのはどれか。1つ選べ。[103C17-ori]","RNA の触媒機能","緑色蛍光タンパク質","キラル触媒による不斉反応","ソフトレーザー脱離イオン化法","ユビキチンを介したタンパク質分解","b","その他教養"
"アルジネート印象体の消毒に適しているのはどれか。1つ選べ。 [103C18-ori]","紫外線","ホルマリン","グルタラール","消毒用アルコール","次亜塩素酸ナトリウム","e","歯科理工学"
"Streptococcus mutans の特徴はどれか。1つ選べ。 [103C19-ori]","β溶血性","酸感受性","偏性嫌気性","バシトラシン感受性","グリコーゲン様多糖の菌体内蓄積","e","微生物学"
"器具を滅菌する際のオートクレーブの温度はどれか。1つ選べ。 [103C20-ori]","99 °C","105 °C","121 °C","147 °C","183 °C","c","歯科理工学"
"GTR 法で根面に誘導するのはどれか。1つ選べ。 [103C21-ori]","歯肉上皮組織","歯肉結合組織","骨膜由来組織","歯根膜由来組織","歯槽粘膜結合組織","d","歯周病学"
"チーム医療の目的はどれか。1つ選べ。 [103C22-ori]","コストの削減","仕事量の平均化","医療の質の向上","従事者の勤務時間短縮","患者への説明時間確保","c","公衆衛生学"
"プロービング時の出血に影響を与えるのはどれか。1つ選べ。[103C23-ori]","歯肉増殖量","ポケットの深さ","根面の陥凹程度","アタッチメントレベル","歯肉内縁部の炎症程度","e","歯周病学"
"基底膜の構成成分はどれか。1つ選べ。 [103C24-ori]","ケラチン","ラミニン","I型コラーゲン","Ⅱ型コラーゲン","オステオポンチン","b","組織学生化学"
"血液凝固を起こす血液成分はどれか。 1つ選べ。 [103C25-ori]","プラスミン","ビリルビン","アルブミン","フィブリノゲン","エリスロポエチン","d","組織学口腔外科学"
"特定健康診査におけるメタボリックシンドロームの診断で基準値を超えることが必須なのはどれか。1つ選べ。[103C26-ori]","腹囲","中性脂肪値","最高血圧値","空腹時血糖値","HDL-コレステロール値","a","内科学公衆衛生学"
"水平位診療で試適中の金属冠が口腔内で落下し、 見失った。直後の対応で適切なのはどれか。1つ選べ。[103C27-ori]","背中を殴打する。","顔を横に向かせる。","起こして吐き出させる。","バキュームで口腔内を吸引する。","口を大きく開けさせて口峡部を確認する。","b","冠橋義歯"
"同部位の口内法エックス線写真(A、B)を示す。歯槽頂部の描出が異なる原因はどれか。1つ選べ。[103C28-ori]","照射野","管電圧","照射時間","投影角度","フイルム感度","d","歯科放射線学"
"身体の部位と主要常在細菌との組合せで正しいのはどれか。1つ選べ。 [103C29-ori]","膣 ー Lactobacillus","膀胱 ー Bacteroides","小腸 ー Helicobacter","鼻腔 ー Enterococcus","皮膚 ー Bifidobacterium","a","微生物学"
"触診で圧縮性を示すのはどれか。1つ選べ。 [103C30-ori]","ガマ腫","線維腫","血管腫","エプーリス","悪性リンパ腫","c","口腔外科学病理学"
"医療面接と診察の項目①~⑤を以下に示す。初診時に行う順序で適切なのはどれか。1つ選べ。[103C31-ori]","④→⑤→③→②→①","④→⑤→③→①→②","③→④→⑤→②→①","③→⑤→④→①→②","②→③→④→⑤→①","c","公衆衛生学"
"咬合高径の減少によって生じやすいのはどれか。1つ選べ。 [103C32-ori]","上顎前歯の唇側傾斜","下顎前歯の歯間離開","下顎前歯の舌側傾斜","臼歯の歯間離開","臼歯の遠心傾斜","a","矯正冠橋義歯"
"唾液の抗脱灰作用に関与するのはどれか。1つ選べ。[103C33-ori]","Na⁺","Cl ̄","Mg²⁺","SCN ̄","HCO₃⁻","e","口腔衛生学"
"熱伝導係数が最も大きいのはどれか。1つ選べ。[103C34-ori]","金合金","PMMA","金属焼付用陶材","コンポジットレジン","モデリングコンパウンド","a","歯科理工学"
"老化によって増大するのはどれか。1つ選べ。 [103C35-ori]","舌圧","最大咬合力","下顎骨重量","顎関節の可動性","唾液中のムチン量","d","高齢者"
"図の①と②との組合せで正しいのはどれか。1つ選べ。[103C36-ori]","a","b","c","d","e","d","口腔衛生学"
"線量の単位で Gy はどれか。1つ選べ。[103C37-ori]","空気中の電離による電荷の量","物質が吸収したエネルギー量","吸収線量と放射線荷重係数の積","単位時間あたりの放射性壊変の回数","組織等価線量と組織荷重係数の積の総和","b","歯科放射線学"
"メラニン沈着を伴うのはどれか。 2つ選べ。 [103C38-ori]","Behçet 病","Addison病","Basedow 病","von Willebrand 病","von Recklinghausen 病","25","口腔外科学"
"義歯製作過程でレジン塡入の際に用いる分離材はどれか。1つ選べ。 [103C39-ori]","シリコーン","パラフィン","リン酸水溶液","エチルシリケート","アルジネート水溶液","e","全部床義歯学"
"歯冠修復材料に用いられるのはどれか。 すべて選べ。 [103C40-ori]","金合金","アルミナ","シリコーン","ジルコニア","金属焼付用陶材","1245","歯科理工学"
"接着性モノマーに含有されるイオウとの反応によって接着する材料はどれか。2つ選べ。[103C41-ori]","金合金","チタン合金","金銀パラジウム合金","コバルトクロム合金","ニッケルクロム合金","13","歯科理工学"
"唾液分泌で正しいのはどれか。1つ選べ。 [103C42-ori]","随意的制御を受ける。","イオン成分の濃度は分泌速度に影響されない。","安静時唾液の分泌には日内変動が認められる。","交感神経の刺激で有機成分の濃度が減少する。","安静時の分泌量は顎下腺よりも耳下腺の方が多い。","c","生理学"
"我が国の社会保障制度における所得保障はどれか。 2つ選べ。 [103C43-ori]","医療扶助","児童手当","介護給付","医療給付","老齢基礎年金","25","公衆衛生学"
"全身疾患を有する患者の栄養摂取状況の評価の指標はどれか。 2つ選べ。 [103C44-ori]","BMI","体温","動脈血酸素飽和度","血清アルブミン値","HDL-コレステロール値","14","口腔外科学"
"エナメル器の星状網で正しいのはどれか。 2つ選べ。 [103C45-ori]","間葉性である。","無髄神経が分布する。","帽状期歯胚でみられる。","細胞間質が豊富である。","エナメル芽細胞を生じる。","34","組織学"
"右側頸部郭清術時の写真を示す。矢印で示す神経によって運動するのはどれか。1つ選べ。[103C46-ori]","舌","下唇","声門","下顎","軟口蓋","a","口腔外科学"
"日本人の食事摂取基準(2020年版)で正しいのはどれか。 2つ選べ。 [103C47-ori2]","フッ素の基準が示されている。","個人の栄養指導に利用できる。","カルシウムは減らすべき栄養素である。","n-3系脂肪酸は増やすべき栄養素である。","推定エネルギー必要量は体重ごとに示されている。","24","公衆衛生学"
"クラスプの設計で最初に行うのはどれか。1つ選べ。 [103C48-ori]","着脱方向の決定","サベイラインの描記","クラスプの種類の選択","アンダーカット量の測定","ガイドプレーンの設置部位の決定","a","部分床義歯学"
"全身疾患と口腔所見との組合せで正しいのはどれか。 すべて選べ。[103C49-ori]","血友病 ー 歯肉線維化","クレチン病 ー 巨舌","Down 症候群 ー 歯の早期萌出","再生不良性貧血 ー 点状出血","Pierre Robin 症候群 ー 舌根沈下","245","口腔外科学"
"義歯設計のためのサベイラインを描記した模型の写真を示す。小臼歯部に赤色で記入した×印は鉤尖部を示す。この部位に用いるクラスプで適切なのはどれか。2つ選べ。[103C50-ori]","RPIクラスプ","リングクラスプ","ツインクラスプ","エーカースクラスプ","バックアクションクラスプ","45","部分床義歯学"
"骨延長術が用いられるのはどれか。1つ選べ。 [103C51-ori]","くる病","大理石骨病","Gardner 症候群","Goldenhar 症候群","McCune-Albright 症候群","d","口腔外科学"
"咬合接触の検査で使用するのはどれか。 すべて選べ。 [103C52-ori]","咬合紙","ワックス","シリコーンゴム","コンタクトゲージ","モデリングコンパウンド","123","冠橋義歯学"
